study_family	study_label	athermal_events	athermal_total	energy_events	energy_total	followup_window	outcome_definition	source_report	rr	yi	vi	se	ci_low	ci_high	fixed_weight_pct	dl_weight_pct	reml_weight_pct	random_weight_pct
STUDY-HOFMANN-01	Hofmann 2022	150	283	85	195	Mean 52.7 vs 54.8 months	Erections firm enough for penetration and satisfactory	RARP-0118	1.21596341716899	0.195536698526448	0.00976959851622084	0.0988412794141235	1.00181299217552	1.4758912526004	50.24235211352	39.6149691403213	39.2667007560497	39.2667007560497
STUDY-BASOURAKOS-01	Basourakos 2022	28	42	25	35	At least 2 years	EPIC-CP item 8 erectile-function recovery	RARP-0105	0.933333333333333	-0.0689928714869516	0.0233333333333333	0.152752523165195	0.691852625180262	1.25909923502009	21.0363260854153	28.0097013424694	28.2757493805235	28.2757493805235
STUDY-AHLERING-01	Ahlering 2008	46	50	24	38	24 months	Erection sufficient for intercourse with or without PDE5 inhibitor	RARP-0421	1.45666666666667	0.376150720439389	0.0170900076277651	0.130728755932905	1.12741462292586	1.88207402550013	28.7213218010647	32.3753295172093	32.4575498634268	32.4575498634268
