study_family	study_label	athermal_events	athermal_total	energy_events	energy_total	followup_window	outcome_definition	source_report	rr	yi	vi	se	ci_low	ci_high	fixed_weight_pct	dl_weight_pct	reml_weight_pct	random_weight_pct
STUDY-AHLERING-01	Ahlering 2008	53	139	3	36	3 months	Erection sufficient for intercourse with or without PDE5 inhibitor	RARP-0421	4.57553956834532	1.52072463020943	0.317229235479541	0.563231067573106	1.51711730265479	13.7995673141811	34.4426695757198	48.4640323129887	48.4640436218762	48.4640436218762
STUDY-JOSEPH-01	Joseph 2006	5	15	10	15	3 months	At least one episode of intercourse	RARP-0442	0.5	-0.693147180559945	0.166666666666667	0.408248290463863	0.224630347769267	1.11293955817934	65.5573304242802	51.5359676870113	51.5359563781238	51.5359563781238
