omitted_study_family	omitted_study_label	k	random_rr_reml_hk	random_reml_hk_ci_low	random_reml_hk_ci_high	random_rr_reml_wald	random_reml_wald_ci_low	random_reml_wald_ci_high	i2_pct	tau2_reml
STUDY-HOFMANN-01	Hofmann 2022	2	1.17420534078452	0.0695265133348786	19.8306820836249	1.17420534078452	0.759249245965549	1.81594936004644	79.5999161229443	0.078865038396761
STUDY-BASOURAKOS-01	Basourakos 2022	2	1.30417505981546	0.426304496825207	3.98980681487405	1.30417505981546	1.09759614325197	1.54963425946934	17.6626826792568	0.00287474111308192
STUDY-AHLERING-01	Ahlering 2008	2	1.09297126006258	0.210171003730192	5.68387719581117	1.09297126006258	0.847496687002114	1.40954671993874	52.6938060584645	0.0184494005997046
