study_design	comparator_device_parameters	thermal_exposure_anatomical_step	nerve_sparing_plane	erectile_definition_medication	continence_definition
Fuschi 2025; randomised	Cold scissors + small Hem-o-lok clips vs monopolar or bipolar energy; cut or coagulation mode; power NR	Brief touch activation for vessel control at the vascular pedicles; same intrafascial plane in both arms	Bilateral intrafascial	Mean IIEF-5 and responder IIEF-5 >=17; all patients received PDE5i from catheter removal	0 pads/day after catheter removal
Hofmann 2022; concomitant non-randomised cohort	Suture ligation vs cut-and-touch monopolar cautery at 30-40 W with 4 degrees C irrigation	Pedicles cut 2-4 mm from the prostate; both cut vessel ends touched with monopolar cautery; allocation depended on pedicle thickness	Unilateral/bilateral reported; fascial plane NR	Two affirmative intercourse-sufficient responses; IIEF-5 15-25; fullness >=75%; PDE5i prescribed daily and as needed	NR
Basourakos 2022; sequential non-randomised cohort	Hem-o-lok on stay/specimen sides + cold scissors vs Maryland bipolar on both sides; short bursts; power NR	Lateral prostatic pedicle cauterised where clips would be placed, followed by cold division between cauterised regions	Complete bilateral intrafascial; partial unilateral intrafascial or unilateral/bilateral interfascial; none bilateral extrafascial; distributions differed	EPIC-CP item 8, erections firm enough for intercourse with or without PDE5i	EPIC-CP pad-use item; 0 pads/day for complete continence
Ahlering 2005-2009; sequential historical family	Standard mono/bipolar cautery vs 30-mm bulldog clamp >=1 cm from prostate, cold division at prostate, running 3-0 suture; focal 4-0 suture if needed	Historical cautery during pedicle/NVB dissection vs temporary vascular occlusion and suture haemostasis without cautery	Unilateral/bilateral nerve preservation; standard interfascial plane described for the preserved side in unilateral cases; full plane reporting incomplete	Erections sufficient and satisfactory for intercourse, with or without oral PDE5i; injections/suppositories counted as not potent	NR in the eligible potency reports
Joseph 2006; non-randomised abstract	Bipolar forceps vs Weck clips; generator mode, power, and activation duration NR	Selective cautery of vessels entering the prostate vs clip control during NVB preservation; exact distance/contact NR	Bipolar 10 bilateral/5 unilateral; clips 13 bilateral/2 unilateral; fascial plane NR	At least one episode of intercourse; SHIM also reported; medication assistance NR	NR
